project_id,Type,Unit,StartPrice,HighPrice,PricePerArea,Province,project_status,BuiltDate
6617,คอนโดมิเนียม,36,2700000,,44400.59,นครราชสีมา,A,2016-09-19T10:20:22.710Z
2314,บ้านเดี่ยว,,2700000,,,นนทบุรี,U,2011-02-16T13:36:06.817Z
9337,ทาวน์โฮม,,2700000,3500000,,นนทบุรี,A,2018-01-08T11:29:56.550Z
8654,บ้านเดี่ยว,,2700000,,,น่าน,A,2017-05-25T13:39:42.627Z
6142,ทาวน์โฮม,,2700000,,,เพชรบุรี,A,2015-12-08T15:46:41.040Z
9569,คอนโดมิเนียม,137,2700000,,,ภูเก็ต,A,2018-03-05T15:16:56.150Z
7604,บ้านเดี่ยว,,2700000,,,สงขลา,U,2016-10-31T09:55:04.413Z
8541,บ้านเดี่ยว,110,2700000,4200000,,สระแก้ว,A,2017-04-17T15:17:47.483Z
8936,บ้านแฝด,28,2706000,,,ฉะเชิงเทรา,A,2017-08-31T10:30:58.973Z
5978,ทาวน์โฮม,158,2710000,,,ระยอง,A,2015-11-11T13:33:44.613Z
7829,บ้านเดี่ยว,,2730000,,,เชียงใหม่,U,2016-11-08T10:07:17.693Z
9128,บ้านแฝด,,2740000,3190000,,ฉะเชิงเทรา,A,2017-10-25T17:01:53.297Z
7750,โฮมออฟฟิศ,26,2740000,,,เชียงใหม่,A,2016-11-03T16:39:43.583Z
2332,คอนโดมิเนียม,515,2750000,,88709.68,กรุงเทพมหานคร,A,2011-02-28T16:52:07.303Z
4443,คอนโดมิเนียม,1012,2750000,,109692.86,กรุงเทพมหานคร,A,2013-11-26T17:05:33.717Z
4216,คอนโดมิเนียม,,2750000,,,กรุงเทพมหานคร,U,2013-10-09T09:33:17.053Z
6105,ทาวน์โฮม,211,2750000,,,กรุงเทพมหานคร,A,2015-11-30T11:42:21.070Z
7981,คอนโดมิเนียม,70,2750000,,87301.59,กรุงเทพมหานคร,A,2016-11-21T14:21:26.943Z
8858,คอนโดมิเนียม,2248,2750000,,110000,กรุงเทพมหานคร,A,2017-08-09T11:20:30.467Z
8869,บ้านเดี่ยว,12,2750000,,,ขอนแก่น,A,2017-08-11T14:15:42.460Z
4904,บ้านแฝด,42,2750000,,,เชียงใหม่,A,2014-04-10T09:13:03.217Z
971,บ้านเดี่ยว,,2750000,2290000,,นนทบุรี,U,2011-03-14T13:55:32.910Z
7479,ทาวน์โฮม,246,2750000,,,นนทบุรี,A,2016-10-25T11:18:42.293Z
2629,บ้านเดี่ยว,161,2750000,,,ปทุมธานี,A,2011-05-16T17:08:59.577Z
5007,บ้านแฝด,,2750000,,,ปทุมธานี,U,2014-07-02T10:01:28.703Z
6726,บ้านแฝด,357,2750000,,,ปทุมธานี,A,2016-09-22T15:11:55.520Z
